25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
17.0,17.0,17.0,17.0,17.0,27.0,27.0,27.0,27.0,27.0,32.0,32.0,32.0,32.0,32.0,38.0,38.0,38.0,38.0,38.0,52.0,52.0,52.0,52.0,52.0,60.0,60.0,60.0,60.0,60.0,67.0,67.0,67.0,67.0,67.0,74.0,74.0,74.0,74.0,74.0
119.0,113.0,101.0,94.0,86.0,107.0,101.0,89.0,82.0,74.0,95.0,89.0,77.0,70.0,62.0,86.0,80.0,68.0,61.0,53.0,76.0,70.0,58.0,51.0,43.0,68.0,62.0,50.0,43.0,35.0,57.0,51.0,39.0,32.0,24.0,50.0,44.0,32.0,25.0,17.0
26.0,32.0,41.0,50.0,53.0,26.0,32.0,41.0,50.0,53.0,26.0,32.0,41.0,50.0,53.0,26.0,32.0,41.0,50.0,53.0,26.0,32.0,41.0,50.0,53.0,26.0,32.0,41.0,50.0,53.0,26.0,32.0,41.0,50.0,53.0,26.0,32.0,41.0,50.0,53.0
23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
16.0,16.0,16.0,16.0,16.0,26.0,26.0,26.0,26.0,26.0,33.0,33.0,33.0,33.0,33.0,39.0,39.0,39.0,39.0,39.0,52.0,52.0,52.0,52.0,52.0,61.0,61.0,61.0,61.0,61.0,68.0,68.0,68.0,68.0,68.0,75.0,75.0,75.0,75.0,75.0
136.0,130.0,119.0,108.0,100.0,124.0,118.0,107.0,96.0,88.0,112.0,106.0,95.0,84.0,76.0,105.0,99.0,88.0,77.0,69.0,91.0,85.0,74.0,63.0,55.0,82.0,76.0,65.0,54.0,46.0,71.0,65.0,54.0,43.0,35.0,61.0,55.0,44.0,33.0,25.0
28.0,37.0,49.0,56.0,59.0,28.0,37.0,49.0,56.0,59.0,28.0,37.0,49.0,56.0,59.0,28.0,37.0,49.0,56.0,59.0,28.0,37.0,49.0,56.0,59.0,28.0,37.0,49.0,56.0,59.0,28.0,37.0,49.0,56.0,59.0,28.0,37.0,49.0,56.0,59.0
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
14.0,14.0,14.0,14.0,14.0,24.0,24.0,24.0,24.0,24.0,33.0,33.0,33.0,33.0,33.0,38.0,38.0,38.0,38.0,38.0,48.0,48.0,48.0,48.0,48.0,56.0,56.0,56.0,56.0,56.0,64.0,64.0,64.0,64.0,64.0,71.0,71.0,71.0,71.0,71.0
124.0,118.0,108.0,98.0,90.0,111.0,105.0,95.0,85.0,77.0,99.0,93.0,83.0,73.0,65.0,90.0,84.0,74.0,64.0,56.0,76.0,70.0,60.0,50.0,42.0,68.0,62.0,52.0,42.0,34.0,57.0,51.0,41.0,31.0,23.0,48.0,42.0,32.0,22.0,14.0
26.0,34.0,41.0,49.0,52.0,26.0,34.0,41.0,49.0,52.0,26.0,34.0,41.0,49.0,52.0,26.0,34.0,41.0,49.0,52.0,26.0,34.0,41.0,49.0,52.0,26.0,34.0,41.0,49.0,52.0,26.0,34.0,41.0,49.0,52.0,26.0,34.0,41.0,49.0,52.0
27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
16.0,16.0,16.0,16.0,16.0,26.0,26.0,26.0,26.0,26.0,35.0,35.0,35.0,35.0,35.0,43.0,43.0,43.0,43.0,43.0,52.0,52.0,52.0,52.0,52.0,59.0,59.0,59.0,59.0,59.0,67.0,67.0,67.0,67.0,67.0,74.0,74.0,74.0,74.0,74.0
110.0,104.0,93.0,86.0,78.0,101.0,95.0,84.0,77.0,69.0,89.0,83.0,72.0,65.0,57.0,84.0,78.0,67.0,60.0,52.0,73.0,67.0,56.0,49.0,41.0,65.0,59.0,48.0,41.0,33.0,54.0,48.0,37.0,30.0,22.0,49.0,43.0,32.0,25.0,17.0
26.0,34.0,45.0,53.0,58.0,26.0,34.0,45.0,53.0,58.0,26.0,34.0,45.0,53.0,58.0,26.0,34.0,45.0,53.0,58.0,26.0,34.0,45.0,53.0,58.0,26.0,34.0,45.0,53.0,58.0,26.0,34.0,45.0,53.0,58.0,26.0,34.0,45.0,53.0,58.0
25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
